id,key,value,type
26606553,highway,traffic_signals,regular
26611416,highway,motorway_junction,regular
26611416,ref,41,regular
26750725,highway,motorway_junction,regular
26750725,ref,261,regular
26750737,highway,motorway_junction,regular
26750737,ref,260,regular
26750741,created_by,JOSM,regular
26750744,created_by,JOSM,regular
26750746,created_by,JOSM,regular
26750749,created_by,JOSM,regular
26750750,highway,motorway_junction,regular
26750750,ref,258,regular
26750751,created_by,JOSM,regular
26750752,created_by,JOSM,regular
26750754,created_by,JOSM,regular
26750760,created_by,JOSM,regular
26750761,created_by,JOSM,regular
26750763,created_by,JOSM,regular
26750764,created_by,JOSM,regular
26754637,created_by,JOSM,regular
26754642,created_by,JOSM,regular
26851314,highway,motorway_junction,regular
26851314,ref,256,regular
26851316,created_by,JOSM,regular
26851317,created_by,JOSM,regular
26851318,created_by,JOSM,regular
26851319,created_by,JOSM,regular
26851320,created_by,JOSM,regular
26851372,highway,motorway_junction,regular
26851372,ref,260,regular
26851374,created_by,JOSM,regular
26851375,created_by,JOSM,regular
26851376,created_by,JOSM,regular
26851377,created_by,JOSM,regular
26851378,created_by,JOSM,regular
26851381,created_by,JOSM,regular
26851382,created_by,JOSM,regular
26851383,created_by,JOSM,regular
26851384,highway,motorway_junction,regular
26851384,ref,261A,regular
26851388,highway,motorway_junction,regular
26851388,ref,261B,regular
26851389,created_by,JOSM,regular
26851390,created_by,JOSM,regular
26851391,created_by,JOSM,regular
26851392,created_by,JOSM,regular
26851396,created_by,JOSM,regular
26851400,created_by,JOSM,regular
26851402,highway,motorway_junction,regular
26851402,ref,263,regular
26851404,highway,motorway_junction,regular
26851404,noref,yes,regular
26851449,highway,traffic_signals,regular
26851464,crossing,uncontrolled,regular
26851464,highway,crossing,regular
26851471,highway,traffic_signals,regular
26851499,highway,traffic_signals,regular
26851533,highway,traffic_signals,regular
26851551,highway,traffic_signals,regular
26851575,highway,traffic_signals,regular
26995873,highway,traffic_signals,regular
27440554,created_by,JOSM,regular
28877215,highway,motorway_junction,regular
28877215,noref,yes,regular
28877230,created_by,JOSM,regular
28912345,highway,traffic_signals,regular
28912348,created_by,JOSM,regular
28912362,created_by,JOSM,regular
28912363,created_by,JOSM,regular
28912364,created_by,JOSM,regular
28912367,created_by,JOSM,regular
28912369,created_by,JOSM,regular
28912453,created_by,JOSM,regular
28912458,created_by,JOSM,regular
28912459,created_by,JOSM,regular
28912478,highway,traffic_signals,regular
28912593,highway,traffic_signals,regular
29019492,created_by,JOSM,regular
29019499,created_by,JOSM,regular
29019500,created_by,JOSM,regular
29019501,created_by,JOSM,regular
29019530,highway,traffic_signals,regular
29019539,highway,traffic_signals,regular
29019605,highway,traffic_signals,regular
29019611,highway,traffic_signals,regular
29019616,created_by,JOSM,regular
29019662,created_by,JOSM,regular
29019664,created_by,JOSM,regular
29019676,highway,traffic_signals,regular
29019681,highway,traffic_signals,regular
29019716,created_by,JOSM,regular
29019757,created_by,JOSM,regular
29019765,created_by,JOSM,regular
29023280,highway,turning_circle,regular
29023353,highway,traffic_signals,regular
29024618,highway,traffic_signals,regular
29024621,highway,traffic_signals,regular
29024622,highway,traffic_signals,regular
29024623,created_by,JOSM,regular
29024624,highway,traffic_signals,regular
29024626,created_by,JOSM,regular
29024635,created_by,JOSM,regular
29024639,created_by,JOSM,regular
29024640,highway,motorway_junction,regular
29024640,noref,yes,regular
29024656,highway,motorway_junction,regular
29024656,noref,yes,regular
29024664,created_by,JOSM,regular
29024669,created_by,JOSM,regular
29024673,highway,motorway_junction,regular
29024673,noref,yes,regular
29024674,created_by,JOSM,regular
29024675,created_by,JOSM,regular
29024676,created_by,JOSM,regular
29024677,created_by,JOSM,regular
29024678,created_by,JOSM,regular
29024679,created_by,JOSM,regular
29024680,created_by,JOSM,regular
29024681,created_by,JOSM,regular
29051063,highway,motorway_junction,regular
29051063,noref,yes,regular
29051071,highway,motorway_junction,regular
29051071,noref,yes,regular
29054413,highway,motorway_junction,regular
29054413,ref,263,regular
29054417,created_by,JOSM,regular
29054418,created_by,JOSM,regular
29054419,created_by,JOSM,regular
29054420,created_by,JOSM,regular
29054423,created_by,JOSM,regular
29054425,created_by,JOSM,regular
29054426,created_by,JOSM,regular
29054427,created_by,JOSM,regular
29054428,created_by,JOSM,regular
29054429,created_by,JOSM,regular
29054430,created_by,JOSM,regular
29054431,created_by,JOSM,regular
29054432,created_by,JOSM,regular
29054434,highway,motorway_junction,regular
29054434,ref,266,regular
29054436,created_by,JOSM,regular
29054441,highway,motorway_junction,regular
29054441,ref,268,regular
29054449,highway,motorway_junction,regular
29054449,ref,271,regular
29054477,created_by,JOSM,regular
29054479,created_by,JOSM,regular
29054487,created_by,JOSM,regular
29054490,created_by,JOSM,regular
29054492,created_by,JOSM,regular
29054829,highway,traffic_signals,regular
29054848,highway,traffic_signals,regular
29054849,highway,traffic_signals,regular
29054868,created_by,JOSM,regular
29174919,highway,traffic_signals,regular
29174983,highway,traffic_signals,regular
29174994,highway,traffic_signals,regular
29175011,highway,traffic_signals,regular
29175196,highway,traffic_signals,regular
29175197,created_by,JOSM,regular
29175198,created_by,JOSM,regular
29175199,created_by,JOSM,regular
29175200,created_by,JOSM,regular
29175201,created_by,JOSM,regular
29175202,created_by,JOSM,regular
29175203,created_by,JOSM,regular
29175204,created_by,JOSM,regular
29175205,created_by,JOSM,regular
29175206,created_by,JOSM,regular
29175207,created_by,JOSM,regular
29175208,created_by,JOSM,regular
29175209,created_by,JOSM,regular
29175212,created_by,JOSM,regular
29175213,created_by,JOSM,regular
29175214,created_by,JOSM,regular
29175215,created_by,JOSM,regular
29175217,created_by,JOSM,regular
29175223,created_by,JOSM,regular
29175225,created_by,JOSM,regular
29175228,created_by,JOSM,regular
