id,user,uid,version,changeset,timestamp
4366404,abDoug,3789884,21,45080744,2017-01-11T16:41:45Z
4383537,marinad_telenav,3277198,31,44441658,2016-12-16T08:58:06Z
4392136,Meliora Cogito,2776568,17,30080089,2015-04-09T04:45:18Z
4392137,dbaron,481533,16,31434291,2015-05-25T03:36:53Z
4392138,dbaron,481533,15,31434291,2015-05-25T03:36:53Z
4397316,simonap_telenav,4827180,14,46515015,2017-03-02T07:58:14Z
4397320,simonap_telenav,4827180,11,46614540,2017-03-06T06:53:51Z
4397325,simonap_telenav,4827180,14,44007653,2016-11-28T14:02:25Z
4476757,simonap_telenav,4827180,14,46515015,2017-03-02T07:58:14Z
4564153,Zippanova,31437,10,14440158,2012-12-28T15:46:31Z
4567238,sbrown,361745,9,7591803,2011-03-18T03:28:41Z
4588299,Meliora Cogito,2776568,22,30107773,2015-04-10T01:52:26Z
4588301,Zippanova,31437,6,13186567,2012-09-20T17:55:27Z
4588302,Zippanova,31437,3,13186567,2012-09-20T17:55:27Z
4588304,arming_telenav,4827171,5,47097050,2017-03-23T13:23:07Z
4588624,Quickstrike,6088132,7,49119594,2017-05-31T02:42:58Z
4588786,MuzikMachine,1820014,10,51152028,2017-08-15T20:35:24Z
4588787,MuzikMachine,1820014,15,51152028,2017-08-15T20:35:24Z
4588788,MuzikMachine,1820014,9,51152028,2017-08-15T20:35:24Z
4588789,MuzikMachine,1820014,14,51152028,2017-08-15T20:35:24Z
4588790,JamesBadger,901180,13,47923721,2017-04-19T03:19:54Z
4588791,abDoug,3789884,17,48507973,2017-05-08T17:14:56Z
4588842,abDoug,3789884,15,44707239,2016-12-27T14:18:55Z
4588907,abDoug,3789884,15,39173784,2016-05-08T01:39:11Z
4596258,Zippanova,31437,3,10819252,2012-02-28T14:36:57Z
4596259,Zippanova,31437,4,16370342,2013-05-31T20:14:55Z
4596260,abDoug,3789884,6,48335562,2017-05-02T13:24:23Z
4596326,simonap_telenav,4827180,11,46365984,2017-02-24T12:32:50Z
4609155,MuzikMachine,1820014,10,20250753,2014-01-28T17:35:14Z
4609156,Zippanova,31437,20,15720092,2013-04-14T04:53:44Z
4609157,kpgokeef,2029784,20,42387250,2016-09-23T20:17:02Z
4609159,marinad_telenav,3277198,18,44186915,2016-12-05T16:07:38Z
4609160,allid,1854273,9,19656039,2013-12-27T06:22:15Z
4609161,simonap_telenav,4827180,11,44002833,2016-11-28T09:42:04Z
4609173,Silvermane,186339,18,48438358,2017-05-05T21:21:16Z
4609174,abDoug,3789884,5,44720559,2016-12-28T03:10:54Z
4609175,Kurly,967832,14,44761434,2016-12-29T16:11:42Z
4609176,Kurly,967832,25,44761434,2016-12-29T16:11:42Z
4609177,andrewpmk,1679,4,21210707,2014-03-20T14:17:03Z
4609178,abDoug,3789884,4,47888781,2017-04-18T01:23:21Z
4609179,abDoug,3789884,21,47986150,2017-04-20T22:16:22Z
