id,key,value,type
4366404,highway,motorway,regular
4366404,maxspeed,100,regular
4366404,name,Stoney Trail NW,regular
4366404,oneway,yes,regular
4366404,ref,201,regular
4383537,highway,tertiary,regular
4383537,lanes,2,regular
4383537,name,64 Avenue NW,regular
4383537,oneway,yes,regular
4392136,aeroway,runway,regular
4392136,length,3'863 ( 12'675 ft ),regular
4392136,ref,17R / 35L,regular
4392136,surface,asphalt_on_concrete_sub-base,regular
4392136,width,61 ( 200 ft ),regular
4392137,aeroway,runway,regular
4392137,length,2'438 ( 8'000 ft ),regular
4392137,ref,11 / 29,regular
4392137,source,NAVCan Canadian Airport Charts (2015-03-05),regular
4392137,surface,asphalt_on_concrete_sub-base,regular
4392137,width,61 ( 200 ft ),regular
4392138,aeroway,runway,regular
4392138,length,1'890 ( 6'200 ft ),regular
4392138,ref,08 / 26,regular
4392138,source,NAVCan Canadian Airport Charts (2015-03-05),regular
4392138,surface,asphalt_on_concrete_sub-base,regular
4392138,width,46 ( 150 ft ),regular
4397316,street,64 Avenue North West,destination
4397316,highway,motorway_link,regular
4397316,oneway,yes,regular
4397320,highway,tertiary,regular
4397320,lanes,4,regular
4397320,name,12 Street NE,regular
4397325,destination,Deerfoot Trail,regular
4397325,ref,2 North,destination
4397325,symbol,airport,destination
4397325,highway,motorway_link,regular
4397325,lanes,1,regular
4397325,lit,yes,regular
4397325,oneway,yes,regular
4476757,street,64 Avenue North,destination
4476757,highway,motorway_link,regular
4476757,lanes,2,regular
4476757,oneway,yes,regular
4564153,highway,unclassified,regular
4564153,name,65 Avenue NE,regular
4567238,highway,unclassified,regular
4567238,name,Aviation Park NE,regular
4588299,highway,secondary,regular
4588299,maxspeed,50,regular
4588299,name,Country Hills Boulevard NE,regular
4588301,highway,unclassified,regular
4588301,name,24 Street NE,regular
4588302,highway,unclassified,regular
4588302,name,128 Avenue NE,regular
4588304,highway,residential,regular
4588304,name,144 Avenue NE,regular
4588624,highway,unclassified,regular
4588624,name,2 Avenue SW,regular
4588624,surface,asphalt,regular
4588786,bridge,yes,regular
4588786,highway,primary,regular
4588786,layer,1,regular
4588786,lit,yes,regular
4588786,maxspeed,70,regular
4588786,name,Shaganappi Trail NW,regular
4588786,oneway,yes,regular
4588787,highway,primary,regular
4588787,lit,yes,regular
4588787,maxspeed,70,regular
4588787,name,Shaganappi Trail NW,regular
4588787,oneway,yes,regular
4588788,bridge,yes,regular
4588788,highway,primary,regular
4588788,layer,1,regular
4588788,lit,yes,regular
4588788,maxspeed,70,regular
4588788,name,Shaganappi Trail NW,regular
4588788,oneway,yes,regular
4588789,highway,primary,regular
4588789,lit,yes,regular
4588789,maxspeed,70,regular
4588789,name,Shaganappi Trail NW,regular
4588789,oneway,yes,regular
4588790,foot,no,regular
4588790,highway,motorway,regular
4588790,lanes,3,regular
4588790,lit,yes,regular
4588790,maxspeed,80,regular
4588790,name,Crowchild Trail NW,regular
4588790,oneway,yes,regular
4588790,ref,1A,regular
4588790,surface,asphalt,regular
4588791,electrified,contact_line,regular
4588791,name,CTrain - Red Line,regular
4588791,oneway,yes,regular
4588791,railway,light_rail,regular
4588842,highway,motorway,regular
4588842,lanes,3,regular
4588842,maxspeed,80,regular
4588842,name,Crowchild Trail NW,regular
4588842,oneway,yes,regular
4588842,ref,1A,regular
4588842,surface,asphalt,regular
4588907,bridge,yes,regular
4588907,highway,motorway,regular
4588907,lanes,2,regular
4588907,layer,2,regular
4588907,maxspeed,100,regular
4588907,name,Stoney Trail NW,regular
4588907,oneway,yes,regular
4588907,ref,201,regular
4588907,surface,asphalt,regular
4596258,highway,unclassified,regular
4596258,name,50 Avenue NE,regular
4596259,highway,unclassified,regular
4596259,name,Skyline Crescent NE,regular
4596260,highway,unclassified,regular
4596260,name,Beaver Dam Road NE,regular
4596326,highway,unclassified,regular
4596326,name,Barlow Trail NE,regular
4596326,oneway,yes,regular
4609155,highway,secondary,regular
4609155,name,32 Avenue NW,regular
4609155,oneway,yes,regular
4609156,highway,tertiary,regular
4609156,lanes,2,regular
4609156,maxspeed,50,regular
4609156,name,Northmount Drive NW,regular
4609157,bicycle,designated,regular
4609157,right,track,cycleway
4609157,highway,tertiary,regular
4609157,lanes,1,regular
4609157,name,Northland Drive NW,regular
4609157,oneway,yes,regular
4609159,highway,secondary,regular
4609159,lanes,2,regular
4609159,maxspeed,50,regular
4609159,name,53 Street NW,regular
4609159,oneway,yes,regular
4609160,bridge,yes,regular
4609160,cycleway,lane,regular
4609160,highway,secondary,regular
4609160,lanes,2,regular
4609160,layer,1,regular
4609160,lcn_ref,calgary bike way,regular
4609160,maxspeed,50,regular
4609160,name,53 Street NW,regular
4609160,oneway,yes,regular
4609161,destination,Crowchild Trail West,regular
4609161,ref,1A,destination
4609161,highway,motorway_link,regular
4609161,lanes,1,regular
4609161,oneway,yes,regular
4609161,surface,asphalt,regular
4609173,highway,tertiary,regular
4609173,lanes,2,regular
4609173,name,Twelve Mile Coulee Road NW,regular
4609174,highway,unclassified,regular
4609174,name,Nagway Road,regular
4609175,highway,tertiary,regular
4609175,name,Rockyvalley Drive NW,regular
4609175,oneway,yes,regular
4609176,highway,tertiary,regular
4609176,name,Rocky Ridge Boulevard NW,regular
4609176,oneway,yes,regular
4609177,highway,residential,regular
4609177,lanes,2,regular
4609177,name,Royal Elm Road NW,regular
4609177,surface,asphalt,regular
4609178,highway,residential,regular
4609178,name,Royal Elm Drive NW,regular
4609179,highway,tertiary,regular
4609179,name,Royal Oak Drive NW,regular
4609180,highway,tertiary,regular
4609180,name,Royal Birch Boulevard NW,regular
4609180,oneway,yes,regular
4609311,destination,Brentwood Lrt,regular
4609311,street,Brisebois Drive;40 Avenue North West,destination
4609311,highway,motorway_link,regular
4609311,oneway,yes,regular
4609311,surface,asphalt,regular
4609315,highway,residential,regular
4609315,name,31 Street NW,regular
4609316,highway,unclassified,regular
4609316,name,31 Street NW,regular
4609317,highway,secondary_link,regular
4609317,oneway,yes,regular
4609318,highway,service,regular
4609319,destination,Crowchild Trail,regular
4609319,ref,1A West,destination
4609319,highway,motorway_link,regular
4609319,oneway,yes,regular
4609319,surface,asphalt,regular
4609320,bicycle,designated,regular
4609320,right,lane,cycleway
4609320,highway,unclassified,regular
4609320,name,Brentwood Road NW,regular
4609320,oneway,yes,regular
4609323,highway,residential,regular
4609323,name,Schooner Close NW,regular
4609323,oneway,yes,regular
4609324,abutters,residential,regular
4609324,bicycle,designated,regular
4609324,highway,tertiary,regular
4609324,name,Scurfield Drive NW,regular
4609324,oneway,yes,regular
4614603,highway,service,regular
4614603,name,Crowfoot Rise NW,regular
4614603,oneway,yes,regular
4614603,surface,asphalt,regular
4614604,bicycle,designated,regular
4614604,highway,tertiary,regular
4614604,name,Crowfoot Way NW,regular
4614604,oneway,yes,regular
4614610,highway,unclassified,regular
4614610,name,44 Street NE,regular
4614612,highway,unclassified,regular
4614612,is_in,"Calgary,Alberta",regular
4614612,lanes,2,regular
4614612,name,54 Avenue NE,regular
4614614,bicycle,designated,regular
4614614,highway,tertiary,regular
4614614,name,Castleridge Boulevard NE,regular
4614614,oneway,yes,regular
4614615,highway,primary_link,regular
4614615,oneway,yes,regular
4614616,highway,primary_link,regular
4614616,oneway,yes,regular
4614625,highway,residential,regular
4614625,name,144 Avenue NE,regular
4618393,bicycle,designated,regular
4618393,highway,residential,regular
4618393,name,Whitefield Drive NE,regular
4618395,bicycle,designated,regular
4618395,highway,tertiary,regular
4618395,lanes,2,regular
4618395,name,Temple Drive NE,regular
4618395,surface,asphalt,regular
4628800,bridge,yes,regular
4628800,destination,Charleswood Drive;Crowchild Trail North,regular
4628800,ref,1A,destination
4628800,highway,secondary,regular
4628800,layer,1,regular
4628800,name,32 Avenue NW,regular
4628800,oneway,yes,regular
4628802,highway,primary_link,regular
4628802,oneway,yes,regular
4628804,highway,unclassified,regular
4628804,name,33 Street NW,regular
4628805,highway,unclassified,regular
4628805,name,Research Place NW,regular
4628807,highway,unclassified,regular
4628807,name,Crowfoot Circle NW,regular
4628807,oneway,yes,regular
4628809,highway,tertiary,regular
4628809,name,Panamount Boulevard NW,regular
4628809,oneway,yes,regular
4628810,highway,tertiary,regular
4628810,name,Panorama Hills Boulevard NW,regular
4628810,oneway,yes,regular
4629918,highway,tertiary,regular
4629918,name,Hidden Valley Link NW,regular
4629918,oneway,yes,regular
4629919,highway,residential,regular
4629919,name,Hidden Spring Green NW,regular
4629921,highway,residential,regular
4629921,name,Sherwood Link NW,regular
4629921,oneway,yes,regular
4637407,leisure,park,regular
4637407,name,Nose Hill Park,regular
4637407,opening_hours,05:00-23:00,regular
4637407,website,http://www.calgary.ca/CSPS/Parks/Pages/Locations/NW-parks/Nose-Hill-Park.aspx,regular
4640872,bicycle,designated,regular
4640872,highway,tertiary,regular
4640872,lcn,yes,regular
4640872,name,41 Avenue NE,regular
4640873,bicycle,designated,regular
4640873,highway,residential,regular
4640873,name,40 Avenue NW,regular
4640874,highway,tertiary,regular
4640874,name,39 Street NW,regular
4640874,oneway,yes,regular
4648021,bicycle,no,regular
4648021,foot,no,regular
4648021,highway,primary,regular
4648021,maxspeed,70,regular
4648021,name,Shaganappi Trail NW,regular
4648021,oneway,yes,regular
4648024,destination,Crowchild Trail;Northland Drive;Shopping Centre,regular
4648024,foot,no,regular
4648024,highway,motorway_link,regular
4648024,lit,yes,regular
4648024,oneway,yes,regular
4648024,surface,asphalt,regular
4648025,street,Shaganappi Trail,destination
4648025,highway,motorway_link,regular
4648025,lit,yes,regular
4648025,oneway,yes,regular
4648025,surface,asphalt,regular
4648103,highway,secondary,regular
4648103,name,32 Avenue NE,regular
4648103,oneway,yes,regular
4648105,highway,secondary,regular
4648105,name,32 Avenue NE,regular
4648105,oneway,yes,regular
4651827,highway,tertiary,regular
4651827,name,87 Street NW,regular
4651828,highway,tertiary,regular
4651828,name,85 Street NW,regular
4651829,highway,unclassified,regular
4651829,name,Bearspaw Dam Road NW,regular
4651832,highway,tertiary,regular
4651832,name,Crowfoot Road NW,regular
4651832,oneway,no,regular
4651972,highway,unclassified,regular
4651972,name,33 Street NW,regular
4651974,access,no,regular
4651974,bicycle,yes,regular
4651974,hgv,yes,regular
4651974,highway,service,regular
4652218,destination,Deerfoot Trail,regular
4652218,ref,2 North,destination
4652218,symbol,airport,destination
4652218,highway,motorway_link,regular
4652218,lanes,1,regular
4652218,lit,yes,regular
4652218,oneway,yes,regular
4652225,highway,motorway,regular
4652225,lanes,3,regular
4652225,lit,yes,regular
4652225,maxspeed,100,regular
4652225,name,Deerfoot Trail NE,regular
4652225,oneway,yes,regular
4652225,ref,2,regular
4652227,alt_name,Highway 2,regular
4652227,highway,motorway,regular
4652227,lanes,3,regular
4652227,maxspeed,110,regular
4652227,name,Deerfoot Trail NE,regular
4652227,oneway,yes,regular
4652227,ref,2,regular
4652229,bicycle,designated,regular
4652229,highway,unclassified,regular
4652229,name,37 Avenue NE,regular
4652230,attribution,GeoBase ®,regular
4652230,geobase:acquisitionTechnique,GPS,regular
4652230,highway,unclassified,regular
4652230,is_in,Calgary,regular
4652230,lanes,2,regular
4652230,name,26 Street NE,regular
4663172,FIXME,block 100,regular
4663172,highway,unclassified,regular
4663172,name,Crowfoot Gate NW,regular
4663172,oneway,yes,regular
4663173,highway,residential,regular
4663173,lanes,2,regular
4663173,name,Capri Avenue NW,regular
4663173,surface,asphalt,regular
4676377,highway,secondary,regular
4676377,name,Symons Valley Road NW,regular
4676377,oneway,yes,regular
4684551,highway,residential,regular
4684551,name,40 Street NW,regular
4684552,highway,residential,regular
4684552,lanes,2,regular
4684552,name,40 Street NW,regular
4684552,surface,asphalt,regular
4684553,highway,residential,regular
4684553,name,Valiant Drive NW,regular
4684561,highway,residential,regular
4684561,name,52 Street NW,regular
4684585,bicycle,designated,regular
4684585,highway,residential,regular
4684585,name,Montana Drive NW,regular
4684588,highway,residential,regular
4684588,name,Montana Crescent NW,regular
4684589,bicycle,designated,regular
4684589,highway,tertiary,regular
4684589,name,32 Avenue NW,regular
4688207,bicycle,yes,regular
4688207,highway,footway,regular
4688208,highway,unclassified,regular
4688208,name,Research Road NW,regular
4688209,highway,primary_link,regular
4688209,lanes,2,regular
4688209,oneway,yes,regular
4688214,highway,tertiary,regular
4688214,name,48 Avenue NE,regular
4688214,oneway,yes,regular
4688226,bicycle,yes,regular
4688226,cycleway,no,regular
4688226,highway,secondary,regular
4688226,maxspeed,60,regular
4688226,name,36 Street NE,regular
4688226,oneway,yes,regular
4688226,surface,concrete,regular
4688228,highway,primary,regular
4688228,name,Métis Trail NE,regular
4688228,oneway,yes,regular
4695914,bicycle,designated,regular
4695914,highway,residential,regular
4695914,maxspeed,50,regular
4695914,name,Varsity Drive NW,regular
4703084,highway,residential,regular
4703084,lanes,2,regular
4703084,name,Tusslewood Drive NW,regular
4703084,oneway,yes,regular
4703084,surface,asphalt,regular
4703085,highway,residential,regular
4703085,name,Tuscany Valley View NW,regular
4703085,oneway,yes,regular
4716886,highway,residential,regular
4716886,lanes,2,regular
4716886,maxspeed,60,regular
4716886,name,Township Road 252,regular
4716886,surface,asphalt,regular
4716889,highway,residential,regular
4716889,lanes,2,regular
4716889,name,Lynx Meadows Drive,regular
4716889,surface,asphalt,regular
4716890,highway,residential,regular
4716890,lanes,2,regular
4716890,name,Bearspaw Meadows Way,regular
4716890,surface,asphalt,regular
4716893,highway,residential,regular
4716893,name,Lynx Meadows Court,regular
4716894,attribution,GeoBase®,regular
4716894,created_by,Potlatch 0.10f,regular
4716894,geobase:acquisitionTechnique,GPS,regular
4716894,geobase:datasetName,NRN:Alberta,regular
4716894,uuid,eb2b9a6fbe8645479526c8a31b39c069,geobase
4716894,highway,residential,regular
4716894,is_in,"Rocky View No. 44, M.D. of,Alberta",regular
4716894,lanes,2,regular
4716894,name,Blueridge Rise,regular
4716894,source,Geobase_Import_2009,regular
4716895,highway,residential,regular
4716895,name,Blueridge View,regular
4716896,highway,residential,regular
4716896,name,Blueridge Lane,regular
4716897,highway,residential,regular
4716897,lanes,2,regular
4716897,name,Blueridge Drive,regular
4716897,surface,asphalt,regular
4716899,highway,unclassified,regular
4716899,name,Township Road 253A,regular
4716900,highway,residential,regular
4716900,lanes,2,regular
4716900,name,Rockledge Terrace NW,regular
4716900,surface,asphalt,regular
4716902,highway,residential,regular
4716902,lanes,2,regular
4716902,name,500 Rocky Ridge Bay NW,regular
4716902,surface,asphalt,regular
4716903,highway,residential,regular
4716903,lanes,2,regular
4716903,name,400 Rocky Ridge Bay NW,regular
4716903,surface,asphalt,regular
4716904,highway,residential,regular
4716904,name,Rocky Ridge Circle NW,regular
4716904,oneway,yes,regular
4716905,highway,residential,regular
4716905,lanes,2,regular
4716905,name,Rocky Ridge Circle NW,regular
4716905,surface,asphalt,regular
4716907,highway,residential,regular
4716907,lanes,2,regular
4716907,name,Rockbluff Place NW,regular
4716907,surface,asphalt,regular
4716915,highway,tertiary,regular
4716915,name,Ranchlands Boulevard NW,regular
4716915,oneway,yes,regular
4716918,bicycle,designated,regular
4716918,highway,tertiary,regular
4716918,name,Hawkstone Drive NW,regular
4716918,oneway,yes,regular
4716919,highway,residential,regular
4716919,name,Hawkwood Boulevard NW,regular
4716919,oneway,yes,regular
4716922,bicycle,designated,regular
4716922,highway,tertiary,regular
4716922,name,Silver Springs Boulevard NW,regular
4716922,oneway,yes,regular
4716927,highway,residential,regular
4716927,lanes,2,regular
4716927,name,48 Avenue NW,regular
4716927,surface,asphalt,regular
4716930,highway,residential,regular
4716930,lanes,2,regular
4716930,name,46 Avenue NW,regular
4716930,surface,asphalt,regular
4716933,highway,residential,regular
4716933,lanes,2,regular
4716933,name,44 Avenue NW,regular
4716933,surface,asphalt,regular
4716936,highway,residential,regular
4716936,lanes,2,regular
4716936,name,73 Street NW,regular
4716936,surface,asphalt,regular
4716940,highway,residential,regular
4716940,lanes,2,regular
4716940,name,Bonita Crescent NW,regular
4716940,surface,asphalt,regular
4716943,highway,residential,regular
4716943,lanes,2,regular
4716943,name,74 Street NW,regular
4716943,surface,asphalt,regular
4716946,highway,residential,regular
4716946,lanes,2,regular
4716946,name,39 Avenue NW,regular
4716946,surface,asphalt,regular
4716948,highway,residential,regular
4716948,lanes,2,regular
4716948,name,76 Street NW,regular
4716948,surface,asphalt,regular
4716949,highway,residential,regular
4716949,lanes,2,regular
4716949,name,37 Avenue NW,regular
4716949,surface,asphalt,regular
4716952,highway,residential,regular
4716952,lanes,2,regular
4716952,name,33 Avenue NW,regular
4716952,surface,asphalt,regular
4716955,bicycle,designated,regular
4716955,highway,tertiary,regular
4716955,name,34 Avenue NW,regular
4716955,oneway,yes,regular
4716957,highway,service,regular
4716958,highway,residential,regular
4716958,lanes,2,regular
4716958,name,75 Street NW,regular
4716958,surface,asphalt,regular
4716964,highway,residential,regular
4716964,lanes,2,regular
4716964,name,44 Avenue NW,regular
4716964,surface,asphalt,regular
4716974,name,Canadian Pacific Railway,regular
4716974,railway,rail,regular
